iter	Passed	Remaining
566	5751	4392
567	5761	4382
568	5771	4372
569	5781	4361
570	5791	4351
571	5801	4341
572	5811	4330
573	5821	4320
574	5831	4310
575	5841	4300
576	5852	4290
577	5861	4279
578	5872	4269
579	5882	4259
580	5891	4249
581	5902	4239
582	5913	4229
583	5924	4220
584	5935	4210
585	5945	4200
586	5955	4190
587	5965	4179
588	5976	4170
589	5986	4159
590	5996	4149
591	6006	4139
592	6017	4129
593	6027	4119
594	6037	4109
595	6047	4099
596	6057	4088
597	6066	4078
598	6076	4068
599	6087	4058
600	6097	4047
601	6107	4037
602	6117	4027
603	6127	4017
604	6138	4008
605	6148	3997
606	6159	3987
607	6169	3977
608	6179	3967
609	6190	3957
610	6200	3947
611	6210	3937
612	6221	3927
613	6231	3917
614	6241	3907
615	6251	3897
616	6261	3886
617	6271	3876
618	6280	3865
619	6291	3855
620	6300	3845
621	6310	3835
622	6321	3825
623	6330	3814
624	6340	3804
625	6349	3793
626	6359	3783
627	6369	3773
628	6379	3762
629	6389	3752
630	6399	3742
631	6410	3732
632	6420	3722
633	6430	3712
634	6440	3702
635	6451	3692
636	6461	3682
637	6471	3672
638	6482	3661
639	6492	3652
640	6502	3641
641	6512	3631
642	6521	3621
643	6532	3611
644	6542	3600
645	6552	3590
646	6562	3580
647	6572	3570
648	6582	3560
649	6593	3550
650	6603	3539
651	6613	3529
652	6623	3519
653	6634	3509
654	6643	3499
655	6654	3489
656	6664	3479
657	6674	3469
658	6685	3459
659	6695	3448
660	6705	3438
661	6714	3428
662	6725	3418
663	6735	3408
664	6745	3398
665	6756	3388
666	6766	3378
667	6776	3367
668	6785	3357
669	6795	3347
670	6805	3337
671	6816	3326
672	6826	3317
673	6837	3306
674	6847	3296
675	6857	3286
676	6867	3276
677	6877	3266
678	6887	3256
679	6895	3245
680	6906	3235
681	6916	3224
682	6926	3214
683	6936	3204
684	6946	3194
685	6956	3184
686	6967	3174
687	6977	3164
688	6988	3154
689	6997	3143
690	7008	3134
691	7018	3124
692	7029	3113
693	7039	3103
694	7049	3093
695	7059	3083
696	7069	3073
697	7080	3063
698	7090	3053
699	7100	3043
700	7111	3033
701	7121	3023
702	7131	3012
703	7141	3002
704	7151	2992
705	7161	2982
706	7171	2971
707	7181	2961
708	7191	2951
709	7201	2941
710	7211	2931
711	7222	2921
712	7232	2911
713	7242	2901
714	7252	2890
715	7262	2880
716	7272	2870
717	7282	2860
718	7292	2850
719	7303	2840
720	7313	2829
721	7323	2819
722	7334	2809
723	7344	2799
724	7354	2789
725	7363	2779
726	7373	2769
727	7383	2758
728	7394	2748
729	7404	2738
730	7414	2728
731	7425	2718
732	7436	2708
733	7446	2698
734	7456	2688
735	7466	2678
736	7476	2667
737	7486	2657
738	7496	2647
739	7506	2637
740	7517	2627
741	7527	2617
742	7537	2607
743	7547	2596
744	7558	2586
745	7568	2576
746	7577	2566
747	7587	2556
748	7596	2545
749	7606	2535
750	7616	2525
751	7626	2515
752	7636	2504
753	7646	2494
754	7656	2484
755	7666	2474
756	7676	2464
757	7686	2454
758	7697	2443
759	7707	2433
760	7718	2423
761	7728	2413
762	7738	2403
763	7748	2393
764	7758	2383
765	7768	2373
766	7778	2362
767	7788	2352
768	7798	2342
769	7808	2332
770	7818	2322
771	7828	2312
772	7839	2302
773	7849	2292
774	7858	2281
775	7869	2271
776	7877	2260
777	7887	2250
778	7897	2240
779	7907	2230
780	7918	2220
781	7928	2210
782	7938	2199
783	7948	2189
784	7958	2179
785	7968	2169
786	7977	2159
787	7986	2148
788	7996	2138
789	8005	2128
790	8014	2117
791	8025	2107
792	8034	2097
793	8045	2087
794	8055	2077
795	8065	2066
796	8074	2056
797	8094	2049
798	8106	2039
799	8117	2029
800	8127	2019
801	8137	2008
802	8147	1998
803	8157	1988
804	8167	1978
805	8177	1968
806	8188	1958
807	8198	1948
808	8208	1938
809	8218	1927
810	8229	1917
811	8238	1907
812	8248	1897
813	8259	1887
814	8269	1877
815	8279	1866
816	8289	1856
817	8299	1846
818	8310	1836
819	8319	1826
820	8330	1816
821	8340	1806
822	8350	1795
823	8359	1785
824	8369	1775
825	8379	1765
826	8389	1754
827	8398	1744
828	8409	1734
829	8419	1724
830	8429	1714
831	8439	1704
832	8449	1693
833	8459	1683
834	8469	1673
835	8479	1663
836	8489	1653
837	8499	1643
838	8509	1633
839	8519	1622
840	8530	1612
841	8540	1602
842	8550	1592
843	8560	1582
844	8570	1572
845	8580	1561
846	8590	1551
847	8600	1541
848	8610	1531
849	8621	1521
850	8631	1511
851	8641	1501
852	8651	1490
853	8661	1480
854	8671	1470
855	8682	1460
856	8691	1450
857	8701	1440
858	8711	1429
859	8721	1419
860	8731	1409
861	8741	1399
862	8751	1389
863	8761	1379
864	8771	1368
865	8781	1358
866	8791	1348
867	8801	1338
868	8811	1328
869	8821	1318
870	8831	1307
871	8841	1297
872	8851	1287
873	8861	1277
874	8871	1267
875	8881	1257
876	8891	1247
877	8902	1236
878	8912	1226
879	8922	1216
880	8932	1206
881	8942	1196
882	8952	1186
883	8962	1176
884	8973	1165
885	8982	1155
886	8992	1145
887	9003	1135
888	9013	1125
889	9023	1115
890	9032	1105
891	9043	1094
892	9054	1084
893	9065	1074
894	9075	1064
895	9085	1054
896	9095	1044
897	9105	1034
898	9115	1024
899	9125	1013
900	9135	1003
901	9145	993
902	9155	983
903	9165	973
904	9175	963
905	9185	953
906	9195	942
907	9205	932
908	9216	922
909	9227	912
910	9236	902
911	9247	892
912	9258	882
913	9268	872
914	9278	861
915	9288	851
916	9298	841
917	9308	831
918	9318	821
919	9328	811
920	9338	800
921	9348	790
922	9358	780
923	9368	770
924	9378	760
925	9388	750
926	9398	740
927	9408	729
928	9418	719
929	9428	709
930	9438	699
931	9448	689
932	9458	679
933	9469	669
934	9478	658
935	9488	648
936	9498	638
937	9508	628
938	9518	618
939	9528	608
940	9538	598
941	9548	587
942	9559	577
943	9568	567
944	9579	557
945	9589	547
946	9599	537
947	9609	527
948	9619	516
949	9629	506
950	9639	496
951	9649	486
952	9659	476
953	9669	466
954	9679	456
955	9689	445
956	9700	435
957	9710	425
958	9721	415
959	9731	405
960	9741	395
961	9751	385
962	9762	375
963	9772	364
964	9782	354
965	9792	344
966	9802	334
967	9812	324
968	9821	314
969	9831	304
970	9840	293
971	9850	283
972	9861	273
973	9872	263
974	9882	253
975	9892	243
976	9902	233
977	9912	222
978	9922	212
979	9931	202
980	9941	192
981	9951	182
982	9961	172
983	9972	162
984	9982	152
985	9992	141
986	10002	131
987	10012	121
988	10022	111
989	10032	101
990	10042	91
991	10052	81
992	10062	70
993	10072	60
994	10082	50
995	10092	40
996	10102	30
997	10111	20
998	10120	10
999	10130	0
